Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,CaseFatality_Ratio
Alabama,32.88428035358209,-86.71012237686571,144164,2437,0,141727.0,3239.9325535488906,2.0594842684712624
Alaska,60.41150609269231,-148.68769288076925,6729,45,0,6684.0,681.8067525668181,0.7242884194065496
Arizona,33.675903642,-111.46323212666667,212942,5451,0,207491.0,2927.250678937341,6.041792466461883
Arkansas,34.911889390266666,-92.43397826839998,75160,1181,0,73979.0,2564.9724143124126,1.821153101596221
California,37.84396164603449,-120.72859416379308,783313,15018,0,768295.0,1544.8584199971447,1.4726158068176334
Colorado,38.935474467656235,-105.48623995937497,64336,2013,0,62323.0,881.2097084263132,2.0334984705494734
Connecticut,41.61368014,-72.65682967875,55527,4492,0,51035.0,1197.5309106266814,6.5158105510391495
Delaware,39.10927682333334,-75.53323745666665,19449,621,0,18828.0,2033.1107108064334,2.558009398967391
District of Columbia,38.90417773,-77.01655992,14902,619,0,14283.0,2111.515567149227,4.153804858408267
Florida,28.94075487910448,-82.70074390925375,681233,13287,0,667946.0,3523.976717295195,1.8421327112143615
Georgia,32.80853214484278,-83.57742992610066,305021,6599,0,298422.0,3019.3721178652295,2.8690190377003164
Guam,13.4443,144.7937,2074,31,0,2043.0,1262.8707475537208,1.4946962391513985
Hawaii,20.99064747,-157.41445579999998,11326,120,0,11206.0,418.44606390036836,1.838465651513308
Idaho,44.2634012584091,-114.46012491818179,37247,441,0,36806.0,1579.9632897139206,1.0032151815843326
Illinois,39.84361770127451,-89.17833006960784,275041,8672,0,266369.0,1441.0035806181918,1.8558327513052506
Indiana,39.83735316565217,-86.21856844913039,110759,3503,0,107256.0,1346.4717832066463,2.908149199974838
Iowa,42.02991002353537,-93.46551942343434,79804,1265,0,78520.0,2100.4457978298524,1.5817059811675507
Kansas,38.485378896857135,-98.08455153209523,52486,594,0,51892.0,1383.1171072253428,1.210317312108685
Kentucky,37.62214385000001,-85.19989061799998,61106,1108,0,59998.0,1120.724105395922,1.7687285431338882
